@relation employee.data
@attribute ID numeric
@attribute Gender {m,f}
@attribute Age {26-33,18-25,34-41,50yearsabove,42-49}
@attribute EducationBackground {bachelor,diploma,master,undergraduate}
@attribute Language {1,2,3,4,5}
@attribute marriage {single,married,divorced}
@attribute PartnerWorking {no,yes}
@attribute Numberofchildren numeric
@attribute AvgAgeoftheirchildren numeric
@attribute Resident {local,not-local}
@attribute Jobtime {ft,pt}
@attribute Hoursofwork numeric
@attribute Salary numeric
@attribute Yearsofservice {0,1,2,3}
@attribute Socialassurance {yes,no}
@attribute Position {leademp,regularemp,manager,supervisor}
@attribute Department {customerservice,others,marketing,humanresource,sales,financial,IT,inventory,preprocessing,Accounting,rawmaterialswarehouse,manufacturing,management,finishing,finishedgoodswarehouse,corporateservices,corporate,assembly,services,marketingmanagement,manufacturingmanagement}
@attribute Computerskills {good,excellent,none}
@attribute Jobsecurity {good,excellent,bad}
@attribute Smoking {yes,no}
@attribute Transportation {yes,no}
@attribute Vacationdays numeric
@attribute Nationality {iraqi,others,kurdish}
@attribute Employmenttype {permanent,fixedtermcontract,temporary}
@attribute No.ofactivities numeric
@attribute No.ofpenalties numeric
@attribute TermReason {none,WorkRuleViolation,AcceptedNewJob,PoorJobfit,PoorPerformance,JobAbandonment,PoorAttendance,medical-Non-JobRelated,Retirement-Normal,JobDissatisfaction,CareerChange,Retirement-Early,Pay,Violence-Threat/Act,medical-JobRelated,ResignedinlieuofTerm,ResignedinLieuofTermination,PersonalReasons,Deceased,WorkConditions/Requirement,EmployeeRelocation,failedDrug/AlcoholScreen}
@attribute Riseinincomereceived {yes,no}
@attribute Employeedisciplined {no,yes}
@attribute Recommendationforpromotion {yes,no}

@data
5,m,34-41,master,2,married,yes,0,0,local,ft,8,2,1,yes,leademp,others,good,good,no,yes,4,iraqi,permanent,68,0,none,yes,no,yes
266,f,50yearsabove,bachelor,2,married,no,4,18,local,ft,8,2,1,no,regularemp,marketing,good,excellent,no,yes,4,iraqi,permanent,3,0,none,yes,yes,yes
103,m,50yearsabove,diploma,3,married,no,2,20,local,ft,9,2,2,no,supervisor,inventory,good,excellent,no,no,4,iraqi,permanent,2,0,none,yes,yes,yes
15,m,26-33,bachelor,1,married,no,2,2,local,ft,9,2,3,no,supervisor,sales,good,good,yes,yes,4,iraqi,permanent,68,0,none,yes,no,yes
282,m,42-49,bachelor,3,married,yes,3,19,local,ft,8,2,2,yes,leademp,IT,none,good,no,yes,2,iraqi,fixedtermcontract,2,0,none,yes,yes,yes
304,m,26-33,diploma,2,single,no,0,0,local,ft,9,2,0,yes,supervisor,finishedgoodswarehouse,good,good,no,yes,1,iraqi,permanent,4,0,none,no,yes,yes
12,m,26-33,undergraduate,3,married,no,0,0,local,ft,9,2,3,yes,supervisor,sales,good,good,yes,yes,4,iraqi,permanent,10,0,none,yes,no,yes
296,f,18-25,bachelor,3,single,no,0,0,local,ft,9,2,2,yes,leademp,finishedgoodswarehouse,excellent,good,no,yes,2,iraqi,permanent,2,0,none,no,yes,yes
36,m,42-49,bachelor,3,married,no,0,0,local,ft,8,3,2,yes,supervisor,humanresource,good,excellent,no,yes,4,iraqi,permanent,3,0,none,yes,yes,yes
264,m,50yearsabove,diploma,1,married,yes,3,23,not-local,ft,8,2,1,no,regularemp,marketing,none,good,no,yes,4,iraqi,permanent,3,0,none,yes,yes,yes
231,m,34-41,bachelor,3,single,yes,0,0,not-local,ft,8,2,1,yes,regularemp,rawmaterialswarehouse,excellent,good,no,yes,2,iraqi,fixedtermcontract,5,0,none,no,yes,yes
291,m,42-49,bachelor,3,married,yes,6,17,not-local,ft,8,2,1,yes,regularemp,finishedgoodswarehouse,excellent,good,yes,yes,4,iraqi,fixedtermcontract,5,0,none,no,yes,yes
11,m,26-33,bachelor,3,married,no,0,0,local,ft,8,2,1,yes,regularemp,humanresource,good,good,yes,yes,4,iraqi,permanent,68,0,none,yes,no,yes
7,m,34-41,master,3,married,yes,2,5,local,ft,8,2,3,yes,manager,humanresource,excellent,excellent,yes,yes,4,iraqi,permanent,10,0,none,yes,no,yes
268,m,50yearsabove,bachelor,2,married,no,4,19,local,ft,9,2,1,yes,manager,marketing,excellent,good,no,no,4,iraqi,permanent,4,0,none,no,yes,yes
